1,Fri Jun 14,3 p.m. ET,A,Germany vs. Scotland
2,Sat Jun 15,9 a.m. ET,A,Hungary vs. Switzerland
3,Sat Jun 15,midday ET,B,Spain vs. Croatia
4,Sat Jun 15,3 p.m. ET,B,Italy vs. Albania
5,Sun Jun 16,9 a.m. ET,D,Poland vs. Netherlands
6,Sun Jun 16,midday ET,C,Slovenia vs. Denmark
7,Sun Jun 16,3 p.m. ET,C,Serbia vs. England
8,Mon Jun 17,9 a.m. ET,E,Romania vs. Ukraine
9,Mon Jun 17,midday ET,E,Belgium vs. Slovakia
10,Mon Jun 17,3 p.m. ET,D,Austria vs. France
11,Tue Jun 18,midday ET,F,Turkey vs. Georgia
12,Tue Jun 18,3 p.m. ET,F,Portugal vs. Czechia
13,Wed Jun 19,9 a.m. ET,B,Croatia vs. Albania
14,Wed Jun 19,midday ET,A,Germany vs. Hungary
15,Wed Jun 19,3 p.m. ET,A,Scotland vs. Switzerland
16,Thu Jun 20,9 a.m. ET,C,Slovenia vs. Serbia
17,Thu Jun 20,midday ET,C,Denmark vs. England
18,Thu Jun 20,3 p.m. ET,B,Spain vs. Italy
19,Fri Jun 21,9 a.m. ET,E,Slovakia vs. Ukraine
20,Fri Jun 21,midday ET,D,Poland vs. Austria
21,Fri Jun 21,3 p.m. ET,D,Netherlands vs. France
22,Sat Jun 22,9 a.m. ET,F,Georgia vs. Czechia
23,Sat Jun 22,midday ET,F,Turkey vs. Portugal
24,Sat Jun 22,3 p.m. ET,E,Belgium vs. Romania
25,Sun Jun 23,3 p.m. ET,A,Switzerland vs. Germany
26,Sun Jun 23,3 p.m. ET,A,Scotland vs. Hungary
27,Mon Jun 24,3 p.m. ET,B,Albania vs. Spain
28,Mon Jun 24,3 p.m. ET,B,Croatia vs. Italy
29,Tue Jun 25,midday ET,D,France vs. Poland
30,Tue Jun 25,midday ET,D,Netherlands vs. Austria
31,Tue Jun 25,3 p.m. ET,C,England vs. Slovenia
32,Tue Jun 25,3 p.m. ET,C,Denmark vs. Serbia
33,Wed Jun 26,midday ET,E,Ukraine vs. Belgium
34,Wed Jun 26,midday ET,E,Slovakia vs. Romania
35,Wed Jun 26,3 p.m. ET,F,Czechia vs. Turkey
36,Wed Jun 26,3 p.m. ET,F,Georgia vs. Portugal
37,Sat Jun 29,3 p.m. ET,-,Win.A vs. 2nd.C
38,Sat Jun 29,midday ET,-,2nd.A vs. 2nd.B
39,Sun Jun 30,3 p.m. ET,-,Win.B vs. 3rd.A D E or F
40,Sun Jun 30,midday ET,-,Win.C vs. 3rd.D E or F
41,Mon Jul 1,3 p.m. ET,-,Win.F vs. 3rd.A B or C
42,Mon Jul 1,midday ET,-,2nd.D vs. 2nd.E
43,Tue Jul 2,midday ET,-,Win.E vs. 3rd.A B C or D
44,Tue Jul 2,3 p.m. ET,-,Win.D vs. 2nd.F
45,Fri Jul 5,midday ET,-,Win. 39 vs. Win. 37
46,Fri Jul 5,3 p.m. ET,-,Win. 41 vs. Win. 42
47,Sat Jul 6,3 p.m. ET,-,Win. 43 vs. Win. 44
48,Sat Jul 6,midday ET,-,Win. 40 vs. Win. 38
49,Tue Jul 9,3 p.m. ET,-,Win. 45 vs. Win. 46
50,Wed Jul 10,3 p.m. ET,-,Win. 47 vs. Win. 48
51,Sun jul 14,3 p.m. ET,-,Win. 49 vs. Win. 50